time_key,hour,minute,time_of_day_band,is_business_hour
333,3,33,night,FALSE
334,3,34,night,FALSE
335,3,35,night,FALSE
336,3,36,night,FALSE
337,3,37,night,FALSE
338,3,38,night,FALSE
339,3,39,night,FALSE
340,3,40,night,FALSE
341,3,41,night,FALSE
342,3,42,night,FALSE
343,3,43,night,FALSE
344,3,44,night,FALSE
345,3,45,night,FALSE
346,3,46,night,FALSE
347,3,47,night,FALSE
348,3,48,night,FALSE
349,3,49,night,FALSE
350,3,50,night,FALSE
351,3,51,night,FALSE
352,3,52,night,FALSE
353,3,53,night,FALSE
354,3,54,night,FALSE
355,3,55,night,FALSE
356,3,56,night,FALSE
357,3,57,night,FALSE
358,3,58,night,FALSE
359,3,59,night,FALSE
400,4,0,night,FALSE
401,4,1,night,FALSE
402,4,2,night,FALSE
403,4,3,night,FALSE
404,4,4,night,FALSE
405,4,5,night,FALSE
406,4,6,night,FALSE
407,4,7,night,FALSE
408,4,8,night,FALSE
409,4,9,night,FALSE
410,4,10,night,FALSE
411,4,11,night,FALSE
412,4,12,night,FALSE
413,4,13,night,FALSE
414,4,14,night,FALSE
415,4,15,night,FALSE
416,4,16,night,FALSE
417,4,17,night,FALSE
418,4,18,night,FALSE
419,4,19,night,FALSE
420,4,20,night,FALSE
421,4,21,night,FALSE
422,4,22,night,FALSE
423,4,23,night,FALSE
424,4,24,night,FALSE
425,4,25,night,FALSE
426,4,26,night,FALSE
427,4,27,night,FALSE
428,4,28,night,FALSE
429,4,29,night,FALSE
430,4,30,night,FALSE
431,4,31,night,FALSE
432,4,32,night,FALSE
433,4,33,night,FALSE
434,4,34,night,FALSE
435,4,35,night,FALSE
436,4,36,night,FALSE
437,4,37,night,FALSE
438,4,38,night,FALSE
439,4,39,night,FALSE
440,4,40,night,FALSE
441,4,41,night,FALSE
442,4,42,night,FALSE
443,4,43,night,FALSE
444,4,44,night,FALSE
445,4,45,night,FALSE
446,4,46,night,FALSE
447,4,47,night,FALSE
448,4,48,night,FALSE
449,4,49,night,FALSE
450,4,50,night,FALSE
451,4,51,night,FALSE
452,4,52,night,FALSE
453,4,53,night,FALSE
454,4,54,night,FALSE
455,4,55,night,FALSE
456,4,56,night,FALSE
457,4,57,night,FALSE
458,4,58,night,FALSE
459,4,59,night,FALSE
500,5,0,night,FALSE
501,5,1,night,FALSE
502,5,2,night,FALSE
503,5,3,night,FALSE
504,5,4,night,FALSE
505,5,5,night,FALSE
506,5,6,night,FALSE
507,5,7,night,FALSE
508,5,8,night,FALSE
509,5,9,night,FALSE
510,5,10,night,FALSE
511,5,11,night,FALSE
512,5,12,night,FALSE
513,5,13,night,FALSE
514,5,14,night,FALSE
515,5,15,night,FALSE
516,5,16,night,FALSE
517,5,17,night,FALSE
